ID	Value
TMED111	அந்த\DM_DMD வேளையில்\N_NN அவளுக்கு\PR_PRP முன்\N_NST ஒரு\JJ பொன்னாலான\JJ ஆப்பிள்\N_NN பழம்\N_NN உருண்டு\V_VM_VNF செல்வதைக்\V_VM_VNG கண்டாள்\V_VM_VF .\RD_PUNC
TMED112	அப்பொற்கனியைக்\N_NN கண்ட\JJ அட்லாண்டாவுக்கு\N_NNP அதன்\PR_PRP மீது\PSP ஆசை\N_NN உண்டாயிற்று\V_VM_VF .\RD_PUNC ஓடுவதை\V_VM_VNG நிறுத்திவிட்டுக்\V_VM_VNF கனியைக்\N_NN குனிந்தெடுத்தாள்\V_VM_VF .\RD_PUNC
TMED113	அட்லாண்டா\N_NNP கனியை\N_NN எடுக்கக்\V_VM_VINF குனிந்த\V_VM_VNF போது\PSP இளைஞன்\N_NN முந்திச்\RB சென்றானாயினும்\V_VM_VNF மறுபடியும்\RB அவளே\PR_PRP முந்தி\RB ஓடினாள்\V_VM_VF .\RD_PUNC
TMED114	அட்லாண்டாவின்\N_NNP முன்பு\N_NST இன்னொரு\JJ பொற்கனியும்\N_NN உருண்டது\V_VM_VF .\RD_PUNC அதையும்\PR_PRP அவள்\PR_PRP எடுத்தாள்\V_VM_VF .\RD_PUNC
TMED115	பந்தயம்\N_NN முடியும்\V_VM_VNF தறுவாயில்\V_VM_VNF மீண்டும்\RB ஒரு\JJ கனி\N_NN உருண்டு\V_VM_VNF வந்தது\V_VM_VF .\RD_PUNC அதையும்\PR_PRP அவளால்\PR_PRP விட\PSP மனம்\N_NN வரவில்லை\V_VAUX .\RD_PUNC
TMED116	ஆனால்\CC_CCS ,\RD_PUNC மூன்றாவது\QT_QTO கனியை\N_NN எடுக்க\V_VM_VINF அவள்\PR_PRP முனைந்த\JJ வேளையில்\N_NN பந்தயம்\N_NN இறுதிக்\N_NN கட்டத்தில்\N_NN இருந்தது\V_VM .\RD_PUNC
TMED117	ஆகையால்\CC_CCS ,\RD_PUNC இளைஞன்\N_NN முந்தி\RB ஓடிப்\V_VM_VNF பந்தயத்தில்\N_NN வெற்றி\N_NN கண்டான்\V_VM_VF .\RD_PUNC இந்த\DM_DMD மூன்று\QT_QTC பொற்கனிகளையும்\N_NN உருட்டி\V_VM_VNF விட்டவன்\N_NNV அந்த\DM_DMD இளைஞனே\N_NN தான்\RP_RPD .\RD_PUNC
TMED118	அவை\PR_PRP ,\RD_PUNC வீனஸ்\N_NNP பெண்\N_NN தெய்வத்தால்\N_NN அவனுக்கு\PR_PRP அளிக்கப்பட்டவை\V_VM_VF .\RD_PUNC ஓட்டப்\N_NN பந்தயத்தில்\N_NN தன்னை\PR_PRP வெற்றி\N_NN கண்ட\JJ அட்லாண்டா\N_NNP தனது\PR_PRP அறிவிப்பின்படி\N_NN அந்த\DM_DMD இளைஞனையே\N_NN திருமணம்\N_NN செய்து\V_VM_VNF கொண்டாள்\V_VM_VF
TMED119	ஒரு\JJ சமயம்\N_NN விஜயநகர\JJ ராஜ்யத்தில்\N_NN கடும்\JJ வறட்சி\N_NN ஏற்பட்டது\V_VM_VF .\RD_PUNC பருவ\N_NN மழை\N_NN தவறிவிட்டதால்\V_VM_VNF குளம்\N_NN ,\RD_PUNC குட்டை,\N_NN ஏரி\N_NN எல்லாம்\N_NN வற்றிவிட்டது\V_VAUX .\RD_PUNC
TMED12	புலவர்\N_NN புலியை\N_NN நம்பினார்\V_VM_VF .\RD_PUNC அருகில்\N_NST சென்று\V_VM_VNF முன்னுள்ள\JJ கதவைத்\N_NN தூக்கினார்\V_VM_VF .\RD_PUNC புலி\N_NN சீற்றத்துடன்\V_VM_VNF வெளியே\N_NST வந்தது\V_VM_VF .\RD_PUNC
TMED120	தெனாலிராமன்\N_NNP வீட்டுக்\N_NN ...\RD_PUNC கிணற்றிலும்\N_NN நீர்\N_NN குறைந்து\V_VM_VNF அதிக\JJ ஆழத்திற்குப்\N_NN போய்விட்டது\V_VAUX .\RD_PUNC இதனால்\CC_CCS தினமும்\N_NST தோட்டத்திற்கு\N_NN தண்ணீர்\N_NN பாய்ச்ச\V_VM_VINF மிகவும்\RP_INTF சிரமப்பட்டான்\V_VM_VF தெனாலிராமன்\N_NNP .\RD_PUNC
TMED121	இந்த\DM_DMD சமயத்தில்\N_NN ஒரு\JJ நாள்\N_NN இரவு\N_NN நான்கு\QT_QTC திருடர்கள்\N_NN தன்\PR_PRP தோட்டத்தில்\N_NN பதுங்கி\V_VM_VNF இருப்பதைக்\V_VM_VNG கண்டான்\V_VM_VF .\RD_PUNC
TMED122	உடனே\PR_PRP வீட்டிற்கு\N_NN வந்து\V_VM_VNF தன்\PR_PRP மனைவியிடம்\N_NN ,\RD_PUNC ``\RD_PUNC அடியே\N_NN ,\RD_PUNC நம்\PR_PRP நாட்டில்\N_NN பருவ\JJ மழை\N_NN தவறிவிட்டதால்\V_VM_VNF ,\RD_PUNC பஞ்சம்\N_NN ஏற்பட்டு\V_VM_VNF விட்டது\V_VAUX .\RD_PUNC
TMED123	எனவே\CC_CCS_UT நிறைய\JJ திருட்டு\N_NN நடக்க\V_VM_VINF ஆரம்பித்து\V_VM_VNF விட்டது\V_VAUX .\RD_PUNC பஞ்ச\JJ காலம்\N_NN முடியும்\V_VM_VNF வரை\PSP நாம்\PR_PRP மிகவும்\RP_INTF ஜாக்கிரதையாக\RB இருக்கவேண்டும்\V_VAUX .\RD_PUNC
TMED124	எனவே\CC_CCS_UT நாம்\PR_PRP ஒரு\JJ காரியம்\N_NN செய்வோம்\V_VM_VNF ``\RD_PUNC என்று\CC_CCS_UT வெளியே\N_NST பதுங்கியிருந்த\V_VM_VNF திருடர்களுக்கு\N_NN கேட்கும்\JJ வண்ணம்\N_NN உரத்த\JJ குரலில்\N_NN பேசினான்\V_VM_VF .\RD_PUNC
TMED125	``\RD_PUNC அதற்கு\PR_PRP என்ன\PR_PRQ செய்யலாம்\V_VM_VNF ?\RD_PUNC ``\RD_PUNC என்று\CC_CCS_UT தெனாலிராமனின்\N_NNP மனைவி\N_NN கேட்டாள்\V_VM_VF .\RD_PUNC
TMED126	``\RD_PUNC வீட்டிலுள்ள\JJ நகை\N_NN ,\RD_PUNC மற்றும்\CC_CCD விலையுயர்ந்த\JJ பொருட்களை\N_NN எல்லாம்\N_NN இந்தப்\DM_DMD பெட்டியில்\N_NN போட்டு\V_VM_VNF பூட்டு\N_NN .\RD_PUNC
TMED127	நாம்\PR_PRP இந்தப்\DM_DMD பெட்டியை\N_NN யாருக்கும்\PR_PRQ தெரியாமல்\V_VM_VNF கிணற்றில்\N_NN போட்டு\V_VM_VNF விடலாம்\V_VAUX .\RD_PUNC
TMED128	பஞ்சம்\N_NN தீர்ந்து\V_VM_VNF திருட்டுப்\N_NN பயம்\N_NN ஒழிந்ததும்\V_VM_VNF மீண்டும்\RB கிணற்றில்\N_NN இருந்து\PSP எடுத்துக்\V_VM_VNF கொள்ளலாம்\V_VM_VNF ``\RD_PUNC என்று\CC_CCS_UT முன்\N_NST போலவே\PSP உரக்கக்\V_VM_VINF கூறினான்\V_VM_VF தெனாலிராமன்\N_NNP .\RD_PUNC திருடர்களும்\N_NN இதைக்\PR_PRP கேட்டனர்\V_VM_VF .\RD_PUNC
TMED129	அதே\PR_PRP சமயம்\N_NN ரகசியமாக\RB தெனாலிராமன்\N_NNP தன்\PR_PRP மனைவியிடம்\N_NN திருடர்கள்\N_NN ஒளிந்திருப்பதைக்\V_VM_VNG கூறி\V_VM_VNF ஒரு\JJ பழைய\JJ பெட்டியில்\N_NN கல்\N_NN ,\RD_PUNC மண்\N_NN ,\RD_PUNC பழைய\JJ பொருட்களை\N_NN எல்லாம்\N_NN போட்டு\V_VM_VNF மூடினான்\V_VM_VF
TMED13	கூண்டிற்குள்\N_NN அடைப்பட்டிருந்த\V_VM_VNF புலிக்கு\N_NN நல்ல\JJ பசி\N_NN .\RD_PUNC புலவரை\N_NN கொல்ல\V_VM_VINF முற்பட்டது\V_VM_VF .\RD_PUNC புலவர்\N_NN தடுத்து\V_VM_VNF புலியின்\N_NN வாக்கை\N_NN நினைவூட்டினார்\V_VM_VF .\RD_PUNC
TMED130	அந்தப்\DM_DMD பெட்டியைத்\N_NN தூக்க\V_VM_VINF முடியாமல்\V_VM_VNF தூக்கி\V_VM_VNF வந்து\V_VM_VNF கிணற்றுக்குள்\N_NN `\RD_PUNC தொப்பென்று\N_NN `\RD_PUNC போட்டு\V_VM_VNF விட்டு\PSP வீட்டுக்கு\N_NN திரும்பிவிட்டான்\V_VAUX தெனாலிராமன்\N_NNP .\RD_PUNC
TMED131	திருடர்களும்\N_NN ,\RD_PUNC \RD_PUNC தெனாலிராமன்\N_NNP ,\RD_PUNC வீட்டிற்குள்\N_NN புகுந்து\V_VM_VNF திருடும்\N_NN நம்\PR_PRP வேலையை\N_NN சுலபமாக்கிவிட்டான்\V_VAUX .\RD_PUNC நாம்\PR_PRP எளிதாக\RB கிணற்றில்\N_NN இருந்து\PSP பெட்டியை\N_NN எடுத்துக்\V_VM_VNF கொள்ளலாம்\V_VM_VNF \RD_PUNC என்று\CC_CCS_UT தங்களுக்குள்\PR_PRP பேசிக்\V_VM_VNF கொண்டனர்\V_VM_VF
TMED132	பெட்டியை\N_NN எடுக்க\V_VM_VINF கிணற்றுக்கு\N_NN அருகே\N_NST வந்தனர்\V_VM_VF திருடர்கள்\N_NN .\RD_PUNC
TMED133	கிணறு\N_NN ஆழமாக\RB இருந்ததால்\V_VM_VNF உள்ளே\N_NST இறங்கப்\V_VM_VINF பயந்த\V_VM_VNF திருடன்\N_NN ஒருவன்\QT_QTC ,\RD_PUNC ``\RD_PUNC அண்ணே\N_NN !\RD_PUNC தண்ணீர்\N_NN குறைவாகத்\RB தான்\RP_RPD உள்ளது\V_VM_VF .\RD_PUNC
TMED134	நாம்\PR_PRP நால்வரும்\QT_QTO ஏற்றம்\N_NN மூலம்\PSP மாற்றி\V_VM_VNF மாற்றி\V_VM_VNF நீரை\N_NN இறைத்து\V_VM_VNF விட்டால்\V_VM_VNF சுலபமாகப்\RB பெட்டியை\N_NN எடுத்துக்\V_VM_VNF கொண்டு\PSP போகலாம்\V_VM_VNF ``\RD_PUNC என்று\CC_CCS_UT கூறினான்\V_VM_VF .\RD_PUNC
TMED135	அதைக்\PR_PRP கேட்ட\JJ மற்றவர்களும்\N_NN அவன்\PR_PRP திட்டத்துக்கு\N_NN ஒப்புக்கொண்டனர்\V_VM_VF .\RD_PUNC அதன்படி\N_NN ஒருவர்\QT_QTO மாற்றி\V_VM_VNF ஒருவர்\QT_QTO ஏற்றம்\N_NN மூலம்\PSP நீர்\N_NN இறைக்கத்\V_VM_VINF தொடங்கினர்\V_VM_VF .\RD_PUNC
TMED136	சற்று\JJ நேரம்\N_NN கழித்து\V_VM_VNF வேறு\JJ வழியாக\RB தோட்டத்திற்கு\N_NN சென்ற\JJ தெனாலிராமன்\N_NNP ,\RD_PUNC திருடர்கள்\N_NN இறைத்து\V_VM_VNF ஊற்றிய\V_VM_VNF நீரை\N_NN தன்\PR_PRP தோட்டத்தில்\N_NN உள்ள\JJ செடிகளுக்கும்\N_NN ,\RD_PUNC கொடிகளுக்கும்\N_NN ,\RD_PUNC பயிர்களுக்கும்\N_NN பாயுமாறு\V_VM_VNF கால்வாயைத்\N_NN திருப்பிவிட்டான்\V_VM_VNF .\RD_PUNC
TMED137	இப்படியே\RB பொழுது\PSP விடிந்துவிட்டது\V_VAUX .\RD_PUNC ஆனால்\CC_CCS கிணற்றில்\N_NN தண்ணீர்\N_NN குறையவில்லை\V_VM .\RD_PUNC
TMED138	இதனால்\CC_CCS திருடர்களும்\N_NN ,\RD_PUNC ``\RD_PUNC நாளை\N_NN இரவு\N_NN மீண்டும்\RB வந்து\V_VM_VNF நீரை\N_NN இறைத்து\V_VM_VNF விட்டு\PSP பெட்டியை\N_NN எடுத்துக்\V_VM_VNF கொள்ளலாம்\V_VM_VNF ``\RD_PUNC என்று\CC_CCS_UT பேசிக்\V_VM_VNF கொண்டு\PSP சென்றனர்\V_VM_VF .\RD_PUNC
TMED139	அப்போது\N_NST தோட்டத்தில்\N_NN இருந்து\PSP வந்த\V_VM_VNF தெனாலிராமன்\N_NNV அவர்களைப்\PR_PRP பார்த்து\V_VM_VNF ,\RD_PUNC ``\RD_PUNC நாளைக்கு\N_NN வரவேண்டாம்\V_VAUX
TMED14	.\RD_PUNC ``\RD_PUNC ``\RD_PUNC நீ\PR_PRP சத்தியத்தை\N_NN மீறுகிறாய்\V_VM_VF `\RD_PUNC `\RD_PUNC என்றார்\V_VM_VF .\RD_PUNC ``\RD_PUNC ``\RD_PUNC யாரேனும்\PR_PRQ நான்கு\QT_QTC நடுவரிடம்\N_NN சென்று\V_VM_VNF சொல்வோம்\V_VM_VF .\RD_PUNC அவர்களில்\PR_PRP பெரும்பாலோர்\JJ என்ன\PR_PRQ சொல்கிறாரோ\V_VM_VNF அதன்படி\PR_PRP நடப்போம்\V_VM_VNF `\RD_PUNC `\RD_PUNC என்றார்\V_VM_VF .\RD_PUNC
TMED140	நீங்கள்\PR_PRP இறைத்த\JJ தண்ணீர்\N_NN இன்னும்\RB மூன்று\QT_QTC தினங்களுக்குப்\N_NN போதும்\V_VM_VF .\RD_PUNC
TMED141	எனவே\CC_CCS மூன்று\QT_QTC தினங்கள்\N_NN கழித்து\V_VM_VNF வந்தால்\V_VM_VNF போதும்\V_VM_VF .\RD_PUNC உங்கள்\PR_PRP உதவிக்கு\N_NN நன்றி\N_NN நண்பர்களே\N_NN !\RD_PUNC ``\RD_PUNC என்று\CC_CCS_UT கூறினான்\V_VM_VF .\RD_PUNC
TMED142	திருடர்களுக்கு\N_NN இதைக்\PR_PRP கேட்டதும்\V_VM_VNF மிகவும்\RP_INTF அவமானமாய்\V_VM_VNF போய்விட்டது\V_VAUX .\RD_PUNC
TMED143	தங்களை\PR_PRP ஏமாற்றி\V_VM_VNF நீர்\N_NN இறைக்கச்\V_VM_VINF செய்த\V_VM_VINF தெனாலிராமனின்\N_NNP அறிவை\N_NN மனத்திற்குள்\N_NN எண்ணி\V_VM_VNF வியந்தனர்\V_VM_VF .\RD_PUNC
TMED144	மேலும்\CC_CCD அங்கே\N_NST இருந்தால்\V_VM_VNF எங்கே\PR_PRQ மாட்டிக்\V_VM_VNF கொள்வோமோ\V_VM_VNF என்ற\CC_CCS_UT அச்சத்தில்\N_NN திரும்பிப்\V_VM_VNF பார்க்காமல்\V_VM_VNF ஓட்டம்\N_NN பிடித்தனர்\V_VM_VF திருடர்கள்\N_NN .\RD_PUNC
TMED145	ஒரு\JJ நாள்\N_NN ஒரு\JJ காட்டுப்\N_NN பகுதியில்\N_NN கழுதை\N_NN ஒன்று\QT_QTC மேய்ந்து\V_VM_VNF கொண்டிருந்தது\V_VAUX .\RD_PUNC
TMED146	கழுதையை\N_NN கவனித்த\JJ ஓநாய்\N_NN ஒன்று\QT_QTC அதை\PR_PRP அடித்துத்\V_VM_VNF தின்னும்\V_VM_VNF நோக்கத்துடன்\V_VM_VNF அதன்\N_NST மீது\PSP பாய்ந்தது\V_VM_VF .\RD_PUNC
TMED147	தனக்கு\PR_PRP வந்த\JJ ஆபத்தைக்\N_NN கண்டு\V_VM_VNF பயந்தது\V_VM_VF கழுதை\N_NN .\RD_PUNC
TMED148	ஓநாயை\N_NN எதிர்த்து\V_VM_VNF சண்டை\N_NN போடுவது\V_VM_VNG கஷ்டம்\N_NN .\RD_PUNC அதனால்\CC_CCS ஏதாவது\PR_PRQ ஒரு\JJ தந்திரம்\N_NN செய்து\V_VM_VNF தான்\RP_RPD சமாளிக்க\V_VM_VINF வேண்டும்\V_VM_VNF என\CC_CCS_UT கழுதை\N_NN தீர்மானித்தது\V_VM_VF .\RD_PUNC
TMED149	ஓநாயின்\N_NN பாய்ச்சலின்\V_VM_VNF போது\PSP சற்று\RB விலகிக்\V_VM_VNF கொண்டு\PSP ,\RD_PUNC ``\RD_PUNC ``\RD_PUNC ஓநாயாரே\N_NN ,\RD_PUNC உம்முடைய\PR_PRP வலிமையின்\N_NN முன்னால்\N_NST நான்\PR_PRP எம்மாத்திரம்\V_VM_VF ...\RD_PUNC நான்\PR_PRP இன்று\N_NST உமக்கு\PR_PRP இரையாகப்\RB போவது\V_VM_VNG உறுதி\N_NN .\RD_PUNC இதை\PR_PRP யாராலும்\PR_PRQ தடுக்கமுடியாது\V_VAUX .\RD_PUNC
TMED15	முதலில்\QT_QTO இருவரும்\QT_QTO ஒரு\JJ மரத்திடம்\N_NN சென்றனர்\V_VM_VF .\RD_PUNC மரம்\N_NN புலவரைக்\N_NN கண்டவுடன்\V_VM_VNF வளைந்து\V_VM_VNF வணங்கியது\V_VM_VF .\RD_PUNC
TMED150	உமக்கு\PR_PRP இரையாகத்\RB தயாராக\RB இருக்கிறேன்\V_VM .\RD_PUNC அதற்கு\PR_PRP முன்னால்\N_NST நான்\PR_PRP சொல்லக்\V_VM_VINF கூடிய\JJ விஷயத்தைத்\N_NN தயவு\N_NN செய்து\V_VM_VNF கேட்க\V_VM_VINF வேண்டும்\V_VM_VNF ,\RD_PUNC `\RD_PUNC `\RD_PUNC என\CC_CCS_UT வேண்டிக்\V_VM_VNF கொண்டது\V_VM_VF .\RD_PUNC
TMED151	``\RD_PUNC நீ\PR_PRP என்ன\PR_PRQ சொல்ல\V_VM_VINF விரும்பினாய்\V_VM_VF .\RD_PUNC சொல்வதை\V_VM_VNG சீக்கிரம்\RB சொல்\V_VM_VF ``\RD_PUNC .\RD_PUNC என\CC_CCS_UT உறுமியது\V_VM_VNF ஓநாய்\N_NN .\RD_PUNC
TMED152	``\RD_PUNC ``\RD_PUNC ஓநாயாரே\N_NN என்\PR_PRP காலில்\N_NN பெரிய\JJ முள்\N_NN ஒன்று\QT_QTC குத்தி\V_VM_VNF விட்டது\V_VAUX .\RD_PUNC முள்ளை\N_NN எடுக்க\V_VM_VINF நான்\PR_PRP எவ்வளவோ\QT_QTF முயற்சி\N_NN செய்தும்\V_VM_VNF முடியவில்லை\V_VAUX .\RD_PUNC
TMED153	காலில்\N_NN முள்\N_NN உள்ள\JJ நிலையில்\N_NN நீ\PR_PRP என்னை\PR_PRP அடித்துச்\V_VM_VNF சாப்பிட்டால்\V_VM_VNF அந்த\DM_DMD முள்\N_NN உன்\PR_PRP தொண்டையில்\N_NN மாட்டிக்\V_VM_VNF கொள்ளும்\V_VM_VF .\RD_PUNC
TMED154	அது\PR_PRP உமக்குக்\PR_PRP கடுமையான\JJ வேதனையைத்\N_NN தருவதுடன்\V_VM_VNG உன்\PR_PRP உயிரையும்\N_NN வாங்கிவிடும்\V_VAUX .\RD_PUNC
TMED155	அதற்கு\PR_PRP தயவு\N_NN கூர்ந்து\V_VM_VNF முதலில்\QT_QTO என்\PR_PRP காலில்\N_NN இருக்கும்\JJ முள்ளை\N_NN எடுத்துவிடு\V_VAUX
TMED156	அதற்குப்\PR_PRP பிறகு\PSP நீ\PR_PRP என்னை\PR_PRP அடித்துத்\V_VM_VNF தின்பதில்\V_VM_VNG எனக்கு\PR_PRP எந்த\PR_PRQ ஆட்சேபனையும்\N_NN இல்லை\V_VM_VNF ,\RD_PUNC `\RD_PUNC `\RD_PUNC என\CC_CCS_UT கழுதை\N_NN கூறிற்று\V_VM_VF .\RD_PUNC
TMED157	ஏமாந்த\JJ ஓநாய்\N_NN ஒத்துக்\V_VM_VNF கொண்டது\V_VM_VF .\RD_PUNC
TMED158	கழுதை\N_NN தனது\PR_PRP பின்னங்கால்களைத்\N_NN திருப்பிக்\V_VM_VNF காண்பித்து\V_VM_VNF ,\RD_PUNC ஓநாய்\N_NN கழுதையின்\N_NN பின்னங்கால்களில்\N_NN முள்\N_NN இருக்கிறதா\V_VM_VNF என\CC_CCS_UT தேடும்\JJ வேலையில்\N_NN ,\RD_PUNC அந்த\DM_DMD சந்தர்ப்பத்தை\N_NN பயன்படுத்தி\V_VM_VNF கழுதை\N_NN பின்னங்\N_NN கால்களால்\N_NN ஓநாயைப்\N_NN பலமாக\RB உதைத்தது\V_VM_VF .\RD_PUNC
TMED159	கழுதையின்\N_NN உதை\N_NN தாங்காமல்\V_VM_VNF ஓநாய்\N_NN துடிதுடித்து\V_VM_VNF சரிந்தது\V_VM_VF .\RD_PUNC
TMED16	பின்னர்\N_NST அது\PR_PRP கூறியது\V_VM_VF .\RD_PUNC ``\RD_PUNC ``\RD_PUNC நான்\PR_PRP சிறு\JJ வயதாக\RB இருக்கும்\V_VM_VNF போது\PSP இந்த\DM_DMD மனிதர்கள்\N_NN எனக்குத்\PR_PRP தண்ணீர்\N_NN ஊற்றி\V_VM_VNF வளர்க்கிறார்கள்\V_VM_VF .\RD_PUNC ஆனால்\CC_CCS ,\RD_PUNC நான்\PR_PRP பெரியவனாகி\V_VM_VNF விட்டவுடன்\V_VM_VNF என்னை\PR_PRP ஈவிரக்கம்\N_NN இன்றி\RB வெட்டுகிறார்கள்\V_VM_VF .\RD_PUNC
TMED160	அந்தச்\DM_DMD சந்தர்ப்பத்தைப்\N_NN பயன்படுத்திக்\V_VM_VNF கொண்டு\PSP கழுதை\N_NN வேகமாக\RB ஓடி\V_VM_VNF தப்பித்துக்\V_VM_VNF கொண்டது\V_VM_VF .\RD_PUNC
